# HEADER
# ======
# label             si-id-delta52-circular
# harmonics         0
# main_harmonic     0 normal
# rescaling_factor  1.0
# units             mm   T.m T.m


# KParam    By[T]*Lamba[m]    Bx[T]*Lambda[m]
# ==========================================
00.00	1.856687e-02	1.856687e-02
00.11	1.856655e-02	1.856655e-02
00.22	1.856509e-02	1.856509e-02
00.33	1.856247e-02	1.856247e-02
00.44	1.855871e-02	1.855871e-02
00.55	1.855380e-02	1.855380e-02
00.66	1.854775e-02	1.854775e-02
00.77	1.854054e-02	1.854054e-02
00.88	1.853219e-02	1.853219e-02
00.99	1.852270e-02	1.852270e-02
01.10	1.851206e-02	1.851206e-02
01.21	1.850028e-02	1.850028e-02
01.32	1.848735e-02	1.848735e-02
01.43	1.847328e-02	1.847328e-02
01.54	1.845806e-02	1.845806e-02
01.65	1.844171e-02	1.844171e-02
01.76	1.842422e-02	1.842422e-02
01.87	1.840558e-02	1.840558e-02
01.98	1.838581e-02	1.838581e-02
02.09	1.836490e-02	1.836490e-02
02.20	1.834286e-02	1.834286e-02
02.31	1.831968e-02	1.831968e-02
02.42	1.829537e-02	1.829537e-02
02.53	1.826993e-02	1.826993e-02
02.64	1.824336e-02	1.824336e-02
02.75	1.821566e-02	1.821566e-02
02.86	1.818684e-02	1.818684e-02
02.97	1.815689e-02	1.815689e-02
03.08	1.812582e-02	1.812582e-02
03.19	1.809363e-02	1.809363e-02
03.30	1.806032e-02	1.806032e-02
03.41	1.802589e-02	1.802589e-02
03.52	1.799035e-02	1.799035e-02
03.63	1.795370e-02	1.795370e-02
03.74	1.791594e-02	1.791594e-02
03.85	1.787706e-02	1.787706e-02
03.96	1.783709e-02	1.783709e-02
04.07	1.779601e-02	1.779601e-02
04.18	1.775383e-02	1.775383e-02
04.29	1.771055e-02	1.771055e-02
04.40	1.766618e-02	1.766618e-02
04.52	1.762072e-02	1.762072e-02
04.63	1.757417e-02	1.757417e-02
04.74	1.752653e-02	1.752653e-02
04.85	1.747780e-02	1.747780e-02
04.96	1.742800e-02	1.742800e-02
05.07	1.737712e-02	1.737712e-02
05.18	1.732516e-02	1.732516e-02
05.29	1.727214e-02	1.727214e-02
05.40	1.721804e-02	1.721804e-02
05.51	1.716289e-02	1.716289e-02
05.62	1.710667e-02	1.710667e-02
05.73	1.704939e-02	1.704939e-02
05.84	1.699106e-02	1.699106e-02
05.95	1.693168e-02	1.693168e-02
06.06	1.687125e-02	1.687125e-02
